Time,IndexTipX,IndexTipY,IndexTipZ,Trial
0.231125,-0.340608,5.400350,-0.822729,9
0.242736,-0.339680,5.402468,-0.822148,9
0.253070,-0.337733,5.403977,-0.822160,9
0.264304,-0.336592,5.406603,-0.821647,9
0.276351,-0.335883,5.408628,-0.820601,9
0.286235,-0.336451,5.411139,-0.818602,9
0.297315,-0.336887,5.412719,-0.817834,9
0.309709,-0.338489,5.415407,-0.814898,9
0.320544,-0.339376,5.418001,-0.813123,9
0.331001,-0.339558,5.420371,-0.811176,9
0.343001,-0.339894,5.423886,-0.807942,9
0.353060,-0.338783,5.426332,-0.806353,9
